id,name_en,name_fr,faction,frame_color,copies,time_cost,type,effect_en,effect_fr,cares_about_tags,notes,artwork_url
more_meat,More Meat!,Plus de viande!,American,#C44736,2,3,Technique,Your Meat dishes get +1 Taste this turn. During judging if you present at least 2 Meat dishes gain +2 Favor.,Vos plats Viande gagnent +1 Gout ce tour-ci. Au jugement si vous presentez au moins 2 plats Viande gagnez +2 Faveur.,Meat,Meat bridge payoff.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/more_meat.png
deep_fry,Deep Fry,Frire,American,#C44736,2,3,Technique,Choose a Dish. It becomes Fried this turn and gets +2 Taste.,Choisissez un plat. Il devient Friture ce tour-ci et gagne +2 Gout.,Fried,Temporarily bends tags.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/deep_fry.png
party,Party,Fete,American,#C44736,2,3,Technique,Draw 1 and gain 1 Time. During judging if you present at least 3 dishes gain +2 Favor.,Piochez 1 et gagnez 1 Temps. Au jugement si vous presentez au moins 3 plats gagnez +2 Faveur.,,Rewards volume and adds Time.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/party.png
ketchup_me_that,Ketchup Me That,Passe le ketchup,American,#C44736,2,2,Technique,Choose a Meat or Fried dish. It gets +2 Taste.,Choisissez un plat Viande ou Friture. Il gagne +2 Gout.,Meat|Fried,Condiment as action rather than dish.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/ketchup_me_that.png
appropriate,Appropriate,Appropriation,American,#C44736,1,6,Reaction,"Choose an opponent's presented dish. After that opponent scores, steal that dish and add it to your discard pile. Peel Appropriate.","Choisissez un plat presente d'un adversaire. Apres le score de cet adversaire, volez ce plat et ajoutez-le a votre defausse. Epluchez Appropriation.",,Unrestricted story card.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/appropriate.png
purify,Purify,Purifier,Japanese,#2F7D6D,2,2,Technique,"Peel up to 2 cards. If you Peel a Status this way, draw 1.","Epluchez jusqu'a 2 cartes. Si vous Epluchez un Statut ainsi, piochez 1.",,Japanese cleanup with status reward.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/purify.png
order,Order,Ordre,Japanese,#2F7D6D,2,3,Technique,Look at the top 5 cards of your deck. Put 2 into your hand and the rest on the bottom of your deck in any order.,Regardez les 5 premieres cartes de votre deck. Mettez-en 2 dans votre main et le reste sous votre deck dans l'ordre de votre choix.,,Strong Japanese card selection.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/order.png
omakase,Omakase,Omakase,Japanese,#2F7D6D,1,5,Technique,"Reveal cards from your deck until you reveal a Dish. Put it into your hand and discard the rest. You may present that Dish this turn. During judging if your meal completes all 3 core courses, gain +2 Favor.","Revelez des cartes de votre deck jusqu'a reveler un Plat. Mettez-le dans votre main et defaussez le reste. Vous pouvez presenter ce Plat ce tour-ci. Au jugement si votre repas complete les 3 plats de base, gagnez +2 Faveur.",,Big precision moment.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/omakase.png
less_is_more,Less Is More,Less is more,Japanese,#2F7D6D,2,3,Technique,During judging if you present exactly Appetizer Main and Dessert with no duplicate core course gain +5 Favor.,Au jugement si vous presentez exactement Entree Plat et Dessert sans doublon de plat de base gagnez +5 Faveur.,,Japanese exactness payoff.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/less_is_more.png
wasabi_attack,Wasabi Attack,Attaque wasabi,Japanese,#2F7D6D,1,4,Reaction,Choose an opponent's dish. It gets -1 Taste. If it is not Seafood it gets -3 Taste instead. Its owner Scorches 1.,Choisissez un plat d'un adversaire. Il gagne -1 Gout. S'il n'est pas Fruits de mer il gagne -3 Gout a la place. Son proprietaire Carbonise 1.,Seafood,Sharp reaction with brutal Scorch rider.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/wasabi_attack.png
mangia_mangia,"Mangia, Mangia!","Mangia, Mangia!",Italian,#3F8F45,2,2,Technique,"Draw 1. If the Judge does not favor you, draw 2 and gain 1 Time instead.","Piochez 1. Si le Juge ne vous favorise pas, piochez 2 et gagnez 1 Temps a la place.",,Comeback fuel.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mangia_mangia.png
mamma_mia,Mamma Mia!,Mamma Mia!,Italian,#3F8F45,2,3,Technique,"Reveal cards from your deck until you reveal a Dish. Put it into your hand and discard the rest, then draw 1. You may present that Dish this turn. If the Judge does not favor you, gain 1 Time.","Revelez des cartes de votre deck jusqu'a reveler un Plat. Mettez-le dans votre main et defaussez le reste, puis piochez 1. Vous pouvez presenter ce Plat ce tour-ci. Si le Juge ne vous favorise pas, gagnez 1 Temps.",,Find missing dish plus extra card flow.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mamma_mia.png
secondo,Secondo,Secondo,Italian,#3F8F45,1,3,Technique,During judging score one Main a second time.,Au jugement scorez une deuxieme fois un Plat principal.,,Wild Italian long-meal card.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/secondo.png
breaking_spaghetti_is_a_crime,Breaking Spaghetti Is A Crime,Casser les spaghetti est un crime,Italian,#3F8F45,1,4,Reaction,Each opponent who modified a dish this turn gains Shame. Choose one modified dish; it gets -2 Taste.,Chaque adversaire qui a modifie un plat ce tour-ci gagne Honte. Choisissez un plat modifie; il gagne -2 Gout.,,Broader multiplayer punishment for modifier decks.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/breaking_spaghetti_is_a_crime.png
more_olive_oil,More Olive Oil!,Plus d'huile d'olive!,Italian,#3F8F45,2,3,Technique,"Choose a Tomato or Cheese dish. It gets +2 Taste. If the Judge does not favor you, it gets +3 Taste instead.","Choisissez un plat Tomate ou Fromage. Il gagne +2 Gout. Si le Juge ne vous favorise pas, il gagne +3 Gout a la place.",Tomato|Cheese,Italian boost.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/more_olive_oil.png
more_parmigiano,More Parmigiano!,Plus de parmigiano!,Italian,#3F8F45,2,2,Technique,Choose a Main. It gets +2 Taste. If it is Cheese or Tomato it gets +3 Taste instead.,Choisissez un Plat. Il gagne +2 Gout. Si c'est Fromage ou Tomate il gagne +3 Gout a la place.,Cheese|Tomato,Cheese modifier moved from dish to action.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/more_parmigiano.png
market_research_focus_group,Market Research Focus Group,Groupe de consommateurs,Neutral,#7A7A72,2,2,Technique,Rotate up to 3 cards in the market. Draw 1. Gain 1 Time.,Renouvelez jusqu'a 3 cartes du marche. Piochez 1. Gagnez 1 Temps.,,Shop churn plus cantrip.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/market_research_focus_group.png
yelp_bomb,Yelp Bomb,Bombardement Yelp,Neutral,#7A7A72,2,3,Reaction,Choose an opponent. They gain a Yelp Review. Draw 1.,Choisissez un adversaire. Il gagne Avis Yelp. Piochez 1.,,Status interaction; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/yelp_bomb.png
health_inspector_raid,Health Inspector Raid,Descente de l'inspection sanitaire,Neutral,#7A7A72,1,4,Technique,Each opponent gains a Health Inspection. Rotate the whole market.,Chaque adversaire gagne Inspection sanitaire. Renouvelez tout le marche.,,Brutal status plus shop reset; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/health_inspector_raid.png
were_gonna_build_a_wall,We're Gonna Build A Wall,On va construire un mur,American,#C44736,1,4,Technique,"Each opponent gains a Health Inspection. Until your next turn, opponents cannot steal your dishes. If any opponent has more Favor than you, gain 1 Time.","Chaque adversaire gagne Inspection sanitaire. Jusqu'a votre prochain tour, les adversaires ne peuvent pas voler vos plats. Si un adversaire a plus de Faveur que vous, gagnez 1 Temps.",,American political satire; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/were_gonna_build_a_wall.png
freedom_isnt_free_refills,Freedom Isn't Free Refills,Les refills de la liberte ne sont pas gratuits,American,#C44736,2,3,Technique,Gain 2 Time. Each opponent gains Food Coma. During judging if you present an Extra gain +1 Favor.,Gagnez 2 Temps. Chaque adversaire gagne Coma alimentaire. Au jugement si vous presentez un Extra gagnez +1 Faveur.,,Time burst with collateral damage; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/freedom_isnt_free_refills.png
mandatory_lunch_strike,Mandatory Lunch Strike,Greve du dejeuner obligatoire,French,#2F5DA8,2,3,Technique,Each opponent gains Strike. You may Peel a starter card.,Chaque adversaire gagne Greve. Vous pouvez Eplucher une carte de depart.,,French labor cliche and cleanup; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mandatory_lunch_strike.png
you_call_that_sushi,You Call That Sushi?,Vous appelez ca des sushis ?,Japanese,#2F7D6D,2,3,Reaction,"Each opponent Scorches 1. For each Status Scorched this way, draw 1.","Chaque adversaire Carbonise 1. Pour chaque Statut Carbonise ainsi, piochez 1.",,Brutal public shaming Scorch effect; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/you_call_that_sushi.png
nonna_says_no,Nonna Says No,Nonna dit non,Italian,#3F8F45,2,3,Reaction,Cancel one Taste reduction or opponent modifier on one of your dishes. That opponent gains Shame.,Annulez une reduction de Gout ou un modificateur adverse sur un de vos plats. Cet adversaire gagne Honte.,,Protective Italian reaction; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/nonna_says_no.png
pineapple_tribunal,Pineapple Tribunal,Tribunal de l'ananas,Italian,#3F8F45,1,4,Technique,"Each opponent who presented or modified a Tomato or Cheese dish this turn gains Shame. If any of those dishes is American, its owner also gains a Distraction.","Chaque adversaire qui a presente ou modifie un plat Tomate ou Fromage ce tour-ci gagne Honte. Si l'un de ces plats est Americain, son proprietaire gagne aussi une Distraction.",Tomato|Cheese,Pizza culture-war card; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/pineapple_tribunal.png
pantry_raid,Pantry Raid,Raid dans le garde-manger,Neutral,#7A7A72,2,3,Technique,"Draw 3 then discard 2. If you discarded a Status, gain 1 Time.","Piochez 3 puis defaussez 2. Si vous avez defausse un Statut, gagnez 1 Temps.",,Neutral rummage for status-heavy decks; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/pantry_raid.png
mise_en_place,Mise En Place,Mise en place,Neutral,#7A7A72,2,3,Technique,Look at the top 6 cards of your deck. Put 2 into your hand and discard the rest.,Regardez les 6 premieres cartes de votre deck. Mettez-en 2 dans votre main et defaussez le reste.,,Big selection with discard setup; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mise_en_place.png
doomscroll_the_menu,Doomscroll The Menu,Scroller le menu en panique,Neutral,#7A7A72,2,2,Technique,Look at the top 5 cards of your deck. Put 2 into your hand and discard the rest. Gain a Distraction.,Regardez les 5 premieres cartes de votre deck. Mettez-en 2 dans votre main et defaussez le reste. Gagnez une Distraction.,,Cheap selection with a silly status downside; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/doomscroll_the_menu.png
chefs_kiss,Chef's Kiss,Baiser du chef,French,#2F5DA8,2,3,Technique,Draw 2. Choose a Dish on your board; it gets +1 Taste this turn.,Piochez 2. Choisissez un Plat sur votre board; il gagne +1 Gout ce tour-ci.,,French draw plus quality polish; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/chefs_kiss.png
super_bowl_commercial_break,Super Bowl Commercial Break,Pub du Super Bowl,American,#C44736,2,3,Technique,Draw 2. Each opponent may draw 1; each who does gains Food Coma.,Piochez 2. Chaque adversaire peut piocher 1; chacun qui le fait gagne Coma alimentaire.,,Tempting multiplayer draw with junk-food downside; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/super_bowl_commercial_break.png
bento_box_planning,Bento Box Planning,Planification du bento,Japanese,#2F7D6D,2,3,Technique,Look at the top 4 cards of your deck. Put 1 into your hand. You may discard any Statuses among the rest. Put the rest on the bottom of your deck in any order.,Regardez les 4 premieres cartes de votre deck. Mettez-en 1 dans votre main. Vous pouvez defausser les Statuts parmi le reste. Mettez le reste sous votre deck dans l'ordre de votre choix.,,Japanese selection and status filtering; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/bento_box_planning.png
secret_family_recipe,Secret Family Recipe,Recette secrete de famille,Italian,#3F8F45,2,4,Technique,"Put a Dish from your discard pile into your hand. Draw 1. If it is Tomato or Cheese, gain 1 Time.","Mettez un Plat de votre defausse dans votre main. Piochez 1. S'il est Tomate ou Fromage, gagnez 1 Temps.",Tomato|Cheese,Italian recursion and draw; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/secret_family_recipe.png
midnight_snack,Midnight Snack,Snack de minuit,Neutral,#7A7A72,2,2,Technique,"Play a card from your Fridge. If it is a Dish, it gets +2 Taste this turn. Draw 1.","Jouez une carte de votre Frigo. Si c'est un Plat, il gagne +2 Gout ce tour-ci. Piochez 1.",,Fridge payoff that turns saved cards into tempo; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/midnight_snack.png
fridge_raid,Fridge Raid,Raid dans le frigo,American,#C44736,2,3,Technique,"Look at an opponent's Fridge. You may discard that card. If you do, that opponent gains Food Coma.","Regardez le Frigo d'un adversaire. Vous pouvez defausser cette carte. Si vous le faites, cet adversaire gagne Coma alimentaire.",,Brutal Fridge interaction for short silly games; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/fridge_raid.png
